College,Green area
Christ's,2020,9429,11449
Churchill,84451,18576,103027
Clare Hall West Court,3910,1117,5027
Clare Hall,2910,0,2910
Clare Memorial Court,6075,54,6129
Clare The Colony,1256,1035,2291
Clare,2338,8857,11195
Corpus Christi Leckhampton,5314,20964,26278
Corpus Christi,1243,1157,2400
Darwin,3747,0,3747
Downing,32202,1982,34183
Emmanuel North Court,536,0,536
Emmanuel,8188,5438,13627
Fitzwilliam,7610,2715,10325
Girton Swirles Court,429,237,666
Girton,32026,48425,80451
Gonville & Caius Harvey Courth,10,18339,18348
Gonville & Caius St Michael's Court,237,0,237
Gonville & Caius,2158,0,2158
Homerton,21899,15865,37764
Hughes Hall,1403,182,1585
Jesus,46388,22908,69296
King's,16224,17510,33734
Lucy Cavendish,2239,2891,5130
Magdalene Cripps Court,119,0,119
Magdalene,16792,630,17422
Murray Edwards,7314,6590,13904
Newnham,19162,282,19444
Pembroke,410,5579,5990
Peterhouse,12226,8565,20791
Queen's,5685,5544,11229
Robinson,3017,17110,20127
Selwyn Cripps Court,2657,0,2657
Selwyn,12454,5373,17828
Sidney Sussex,1699,7668,9367
St Catharine's St Chad's,1170,776,1947
St Catharine's,1458,94,1552
St Edmund's,15346,352,15698
St John's,29043,17952,46995
Trinity Burrell's Field,6612,25655,32267
Trinity Hall Wychfield,632,9533,10165
Trinity Hall,2506,155,2662
Trinity,9233,24102,33335
Wolfson,4575,7809,12384
