College,Green area
Christ's,11449
Churchill,103027
Clare Hall West Court,5027
Clare Hall,2910
Clare Memorial Court,6129
Clare The Colony,2291
Clare,11195
Corpus Christi Leckhampton,26278
Corpus Christi,2400
Darwin,3747
Downing,34183
Emmanuel North Court,536
Emmanuel,13627
Fitzwilliam,10325
Girton Swirles Court,666
Girton,80451
Gonville & Caius Harvey Courth,18348
Gonville & Caius St Michael's Court,237
Gonville & Caius,2158
Homerton,37764
Hughes Hall,1585
Jesus,69296
King's,33734
Lucy Cavendish,5130
Magdalene Cripps Court,119
Magdalene,17422
Murray Edwards,13904
Newnham,19444
Pembroke,5990
Peterhouse,20791
Queen's,11229
Robinson,20127
Selwyn Cripps Court,2657
Selwyn,17828
Sidney Sussex,9367
St Catharine's St Chad's,1947
St Catharine's,1552
St Edmund's,15698
St John's,46995
Trinity Burrell's Field,32267
Trinity Hall Wychfield,10165
Trinity Hall,2662
Trinity,33335
Wolfson,12384
